"pop","author","genus","species","class","referenced","Ocean","num_individuals","gene_diversity","allelic_richness","global_fst","Ne","long","lat","hupopdens25km","hupopdens50km","hupopdens100km","hupopdens200km","impacts25km","impacts50km","impacts100km","impacts200km"
"Als1_Ireland","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",170,0.795238300682737,6.07076230792919,0.00111290537987985,NA,-782493.33777636,7250157.72268993,12.6993591443703,15.8817105454465,34.3167404672754,34.5751158028636,1.78601246362183,1.9653363408038,3.28488509172474,3.28110816880316
"Als1_Italy","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",49,0.794576105820933,6.10319004866515,-0.00538374194611912,NA,965101.898232497,5966310.19900233,1262.13901712905,1053.67349647606,363.765072768707,226.499999725681,3.72422251950409,2.85216979663561,2.47798318234842,2.48865437032382
"Als1_Loire","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",229,0.799953064055317,6.06037736491704,-0.00402924618719402,1848.5,-188135.32936205,6576177.21632461,377.543285221498,150.532215979659,151.773624767281,111.92193658564,3.29907128532968,2.08575296415987,1.88984117324832,2.15240417374719
"Als1_Moulouya","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",45,0.797476350809684,6.17561288222558,-0.0100799605173454,311,-184391.445091283,5155614.00126977,130.923457648054,222.741929810337,162.484920838871,106.402524028348,2.92117650154715,2.55782432293501,2.00211538702578,1.84773778162599
"Als1_Netherlands","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",51,0.792959298506985,6.09596749700046,-0.00295333425919408,717.6,407148.498589933,7169773.03120673,77.5073284716464,187.437863334509,418.790591804068,409.993378440706,2.81510624007073,2.18640517815981,2.07597290939123,2.29669546383668
"Als1_Portugal","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",51,0.790343857481254,6.10976795136545,0.000369049730976512,2584.3,-699497.503372901,5958944.74212452,232.223289616456,298.351949477501,301.365002562742,123.819595688217,2.42677980453717,2.44639357583234,2.52917476207699,2.32180407891328
"Als1_SalseLeucarte","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",41,0.779595018554715,5.98006860685306,0.0115749472504753,NA,241945.850061802,6095457.35824534,274.541570449648,143.681136247069,92.55708865445,170.755340098934,2.54160790927595,2.20189815865009,1.81116739501146,1.59925650120044
"Als1_Sargasso1011","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",23,0.766765685480242,6.01740800316922,0.0183894128698132,NA,-5045125.91752567,4089507.73720426,NA,NA,NA,NA,3.63911310516337,3.41431547024662,3.34997740673207,3.31418018340501
"Als1_Sargasso1213","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",8,0.762276785714286,6.14624661053232,-0.0182927801351034,59.3,-5045667.59528277,4183286.34637197,NA,NA,NA,NA,3.36461814809245,3.37060704830274,3.32788598307444,3.43800659595163
"Als1_Sargasso1617","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",6,0.75,6.12554112554113,-0.0246630397739092,NA,-5283655.72845703,4218948.52912244,NA,NA,NA,NA,3.06644450181367,2.97207201352274,3.03323940609701,3.26525497314099
"Als1_Sargasso1920","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",5,0.680119047619048,8.04761904761905,0.0506441430686327,NA,-5283655.72845703,4218948.52912244,NA,NA,NA,NA,3.06644450181367,2.97207201352274,3.03323940609701,3.26525497314099
"Als1_Sargasso2122","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",8,0.742559523809524,6.07605489748347,0.00804666220123695,NA,-5282747.41291675,3848742.5620419,NA,NA,NA,NA,3.77619758253585,3.830533553727,3.71287788724277,3.70445220692511
"Als1_Sargasso2324","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",8,0.742559523809524,5.89023476523477,0.00804666220123673,78.9,-5285229.5112855,3736800.04269481,NA,NA,NA,NA,4.06848625970392,3.99350389344803,3.93644016629966,3.93870147618061
"Als1_Sargasso252627","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",14,0.76534062483827,6.09496873762974,0.00584615643745434,NA,-5517702.30834494,3870055.66967575,NA,NA,NA,NA,4.02256254747918,3.98416034459567,3.93044988362352,3.93789848803524
"Als1_Sargasso28","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",8,0.736607142857143,5.89722182579325,0.0159981919631507,2.7,-5518926.0112256,3998925.6123485,NA,NA,NA,NA,3.7931424018875,3.8174990544078,3.72829195003525,3.77247251131377
"Als1_Sargasso293033","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",5,0.694285714285715,5.85714285714286,0.0338891339274571,NA,-5521790.51674456,4228085.63787381,NA,NA,NA,NA,3.53150951688499,3.31025227682979,3.38576393912418,3.58671042802946
"Als1_Sargasso7","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",29,0.7931600702112,6.11984208461076,-0.0107534383383883,3085,-5046366.96671005,3820870.32756977,NA,NA,NA,NA,2.88195627216319,3.15290665410452,3.32867308783387,3.60319056663701
"Als1_Sargasso8","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",22,0.773181947578979,5.994636587273,0.00890212628098785,81.3,-5047285.5323389,3926558.56723163,NA,NA,NA,NA,2.66521046977433,2.84430569514941,3.06445813332361,3.3736680624435
"Als1_Sargasso8_5","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",8,0.74202806122449,6.02544479330194,0.00735854904876343,105.1,-5052110.95864665,3965426.64757802,NA,NA,NA,NA,3.35753940589845,3.15208260138492,3.11562698056038,3.29995351970522
"Als1_Sargasso9","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",20,0.768467220683287,5.99337171550708,0.0128474668126606,2688.6,-5047468.19443635,3998040.48424575,NA,NA,NA,NA,3.57203525750313,3.49579021456807,3.22937833971356,3.27580680232187
"Als1_SargassoNA20","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",41,0.788943739559559,6.04328462919794,-0.000420283994355675,16.4,-5122678.87605576,3946939.31833014,NA,NA,NA,NA,2.79916054919079,2.82824110629659,2.88886637488644,3.28153894069841
"Als1_SargassoNA21","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",53,0.798778388447016,6.14016009879507,-0.0100252429607532,NA,-5115582.6608973,3938507.93128666,NA,NA,NA,NA,2.78269284663743,2.84595591074584,2.90592410570941,3.29152151436592
"Als1_SargassoNA22","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",13,0.753887955155437,5.81861665588181,0.0170332498761823,NA,-5125832.74945952,3952557.88683374,NA,NA,NA,NA,2.7896228404022,2.81246479055246,2.88448002331366,3.27479345674568
"Als1_Sebou","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",51,0.793332937881035,6.13252417096863,-0.00338973308081014,1090.5,-530781.991800828,5045224.93866506,791.481859043174,738.482566910752,316.993145961704,244.074099161171,3.10381724453237,2.97915135042951,2.73543002021375,2.36582537433828
"Als1_Sweden","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",50,0.792410218253968,6.06511256527186,-0.00243252190784071,4228.4,954134.312144077,7548004.87036335,137.048766467781,234.415168147615,107.750884583663,93.9576270171845,2.46499211065051,2.21483087986364,1.97443704172113,1.56953244986931
"Als1_TourDuValat","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",53,0.789531133133252,6.08661609803165,0.0017485805070242,NA,356282.27640626,6160571.26056348,55.7793706845132,183.618828332364,261.632971876271,113.684885489907,1.92270047164934,2.36419489119712,2.03259223863935,1.65860359432743
"Als2_Sargasso17192021","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",7,0.728862973760933,5.9040959040959,0.00636292706193453,NA,-5282822.31741008,3966885.10321069,NA,NA,NA,NA,4.05394573182275,4.0208314203795,3.76215279254741,3.50049898498416
"Als2_Sargasso22","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",5,0.714285714285715,5.95238095238095,-0.00467748485959985,NA,-5283221.54495562,3827808.3631536,NA,NA,NA,NA,3.65056362518897,3.82438580680299,3.73044592231164,3.7496406798816
"Als2_Sargasso2324","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",16,0.774646577380952,6.22244035727617,-0.0122530771849523,74.6,-5285074.97148872,3757796.7936088,NA,NA,NA,NA,3.98179295631483,3.93582580871671,3.8705268373836,3.8920140791588
"Als2_Sargasso25","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",11,0.739669421487603,6.05854885200308,0.019069437509809,NA,-5517535.94152289,3782503.88361071,NA,NA,NA,NA,3.9606068312358,3.99657263777381,3.97949602554595,4.00854682755349
"Als2_Sargasso26","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",7,0.742954324586978,6.29180343466058,-0.0128473896815349,NA,-5516789.52455451,3852884.47609721,NA,NA,NA,NA,4.03124872573371,3.97232412216715,3.94598431731612,3.95352514865345
"Als2_Sargasso27","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",8,0.697521865889213,5.76968864468865,0.0575904383778524,NA,-5518241.62069698,3922221.98687499,NA,NA,NA,NA,3.88667160780937,3.89579897468693,3.88264570169579,3.89259147522587
"Als2_Sargasso2829","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",31,0.76192953768396,6.05927760390062,0.0196664190834288,NA,-5518944.14599767,4020715.20848201,NA,NA,NA,NA,3.83377351649089,3.74605063937785,3.69925927712903,3.73905202401739
"Als2_Sargasso30","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",9,0.748971193415639,6.08777605836429,-0.00388950251853326,NA,-5523508.58928126,4138439.05115863,NA,NA,NA,NA,3.71602555319614,3.36525734857033,3.32060885449778,3.59750984028838
"Als2_Sargasso3132","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",10,0.750238095238095,6.05188877170301,0.000293024802337394,NA,-5520320.02327006,4247087.63900876,NA,NA,NA,NA,3.62994239135557,3.44881485628019,3.43754192726688,3.5837364525407
"Als2_Sargasso678851112","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",7,0.737663319295973,6.00594643451786,-0.00638373033838224,NA,-5047425.09123701,3950629.52587747,NA,NA,NA,NA,3.03375653445167,3.06882743956568,3.10567558468281,3.32900543321518
"Als2_SargassoNA2022","Als","Anguilla","Rostrata","Actinopteryggi","coordinates from raw data","Atlantic",6,0.727751322751322,6.11976911976912,-0.00607794438394937,NA,-5124255.81275764,3949748.83842799,NA,NA,NA,NA,2.79750250653256,2.8211356599928,2.88624899178646,3.27818749000588
"Andre_KattegatA","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",77,0.771450170869421,5.63090463449256,-0.0103463703202002,159,938277.33761834,7516674.16282315,7.64472603797913,135.738189742416,156.345649974485,105.957684666537,4.09190309785512,3.31063079734406,2.35711244552728,1.71208584325721
"Andre_KattegatB","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",58,0.767020302648238,5.52992689533547,-0.00677976397303182,457.6,967450.666603112,7482067.31750568,101.308285763389,178.355620269291,212.909454016444,108.821721986661,3.99000955914072,3.22409677001252,2.08492932088238,1.74053313757689
"Andre_KattegatC","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",41,0.75712152829417,5.47972241801391,0.00267524267371744,100.5,975335.350112509,7455873.2548005,285.194055079003,550.421072922069,220.16134567065,117.223130061907,3.00044622235639,2.72437668982159,2.03103523956479,1.83003155327842
"Andre_KattegatD","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",60,0.754571841747914,5.47036526269645,0.00989365623259719,276.1,971393.00835781,7464627.30860354,184.830664424655,330.66211608249,218.738399389403,116.208016943773,3.62831305386949,2.96298965246757,2.05256189222906,1.79760211774882
"Andre_KattegatE","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",100,0.742893160986816,5.36348510634751,0.0285017304353794,NA,957989.046391834,7516674.16282315,226.154046850384,82.1775438663722,145.495289832083,100.797392294487,4.25464564726017,2.9872243269905,2.04970690456499,1.62495461814009
"Andre_KattegatF","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",167,0.75946142714105,5.66890591529499,0.00882242127786026,NA,913834.818739206,7493354.54718659,7.64472622672717,30.3161789362247,188.000861057755,117.267864699951,3.02232756800687,3.28981309144696,2.65169668824629,1.91051881928333
"Andre_NorthSea","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",100,0.770048072468981,5.77329926265623,-0.007385200715885,NA,461253.985299772,7400202.73518317,NA,NA,NA,58.9746269333855,4.26898409557848,4.2846478161142,4.2999943045907,4.19617092475278
"Andre_OresundA","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",99,0.759297578040457,5.54581477652609,0.00698838041039285,3111.4,1011604.89425574,7420630.69631748,941.805576921057,505.393656398007,209.551822246855,111.813215189954,3.56933205826032,2.0090815487338,1.87488960473313,1.87346412458507
"Andre_OresundB","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",85,0.762649005782706,5.5894966145261,0.00163329587217098,287.5,1001354.80569352,7433889.03374534,613.730342863734,519.684589827073,204.091165005148,115.417125134896,2.53746568637697,2.13253425363073,1.84012383577753,1.85522847005329
"Andre_SkagerrakEa","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",94,0.757177283914266,5.66789097823287,0.00942618591706867,365.4,906954.959296246,7633855.67727676,48.6776442495734,54.8359117765008,89.9269061305589,66.6606447904418,2.39683667687707,2.43748410644384,2.19921410514161,1.56534574393781
"Andre_SkagerrakEb","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",92,0.767460050148516,5.68285893341369,-0.00411905138797608,NA,851545.819014964,7703665.19529839,170.371457190474,125.58606926389,106.240875073057,51.6003171950906,3.50400741011743,2.57068062219937,1.95692863919119,1.29315030361589
"Andre_SkagerrakEc","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",90,0.765817880777929,5.71814499249394,-0.0020041345723425,NA,899746.939325625,7639340.13101807,45.6407182907024,46.2963093629145,93.036709883928,65.7699973056965,2.85696865219985,2.65042213912756,2.32570739569341,1.56210829711663
"Andre_SkagerrakW","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",101,0.772478157022148,5.67015292763378,-0.0104983653987982,NA,771122.047219106,7584788.99946666,106.06683658525,66.6507483397619,76.5152914706079,84.3777017883196,4.21202008662687,3.54033928318645,3.41473287466305,2.1715181430427
"Andre_SkagerrakZ","Andre","Gadus","Morhua","Actinopteryggi","coordinates from raw data","Atlantic",166,0.758338905977635,5.59688274738194,0.00980208326247645,NA,827103.30013583,7630762.16795574,NA,124.919689713237,89.2069905442916,74.4150679783123,5.12933471800214,4.9447893124764,3.62208490123768,1.76410658782623
"Bailleul_Australia","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",16,0.732076662272404,5.05222824674991,0.0084860092676946,167.7,12005747.3852042,-4953279.98976304,NA,NA,678.195865392211,146.036824220896,3.88895360404105,3.89731595409572,3.62727468961155,2.84829502160878
"Bailleul_Azores","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",44,0.758883666513839,5.16296817699473,-0.00501750975613646,NA,-2054630.25229643,5682608.36774193,NA,NA,NA,147.26227929219,4.53826583040432,4.53973120596992,4.42681075480134,4.33501714339725
"Bailleul_GulfofLion","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",73,0.760088394980837,5.19985951159466,-0.00228450020338089,141.2,315410.994426441,6112526.13871442,NA,492.506500244141,212.611605130186,124.077597753484,4.15145128354587,4.26510433755793,3.02891625176321,1.90293579997715
"Bailleul_Hawaii","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",8,0.691455026455027,5.64485976985977,0.00325630827782519,41.7,-12290979.2015706,3061905.09375995,19.590530188044,13.6098709738134,22.2592919351048,28.1735200438018,1.27401238452099,1.39325364805039,1.82354729878885,2.11611106814853
"Bailleul_Malta","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",32,0.756208797721477,5.17785737129895,-0.00600160554004869,NA,1134642.06885282,5259311.72849405,1204.14410538572,1204.14410538572,1198.03368248337,211.836944633604,4.17513604342305,4.55929389910605,4.59331268339821,4.09316116747364
"Bailleul_NewZealand","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",27,0.729832409910093,4.87951211036771,0.0264107145910136,NA,13075430.8581902,-6187226.42676904,NA,NA,NA,0.0136825074849648,2.39683299652806,2.3127064196723,2.28345140589012,2.29263221213522
"Bailleul_Spain","Bailleul","Prionace","Glauca","Chondrichthyes","coordinates in supp data file","Multiple",26,0.727335996968369,4.96818970786485,0.0287758287283765,32.8,-584775.437157998,6283179.37442166,NA,NA,84.4043993377684,107.293847150445,4.31383183803508,4.40628765848154,4.47171734513499,3.68575847146479
"Bentley_FaradayShoals","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",5,0.604134615384616,5.46153846153846,-0.0135657424841924,NA,11564000.1069067,-2741358.62568207,NA,28.5633453338255,5.44327927187924,6.10582961748653,2.85747117162172,2.81212821375258,2.23352409196869,1.8928431940064
"Bentley_FlindersReef","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",20,0.664095994033667,4.50829475627702,-0.0228393772372111,27.9,11673660.2851554,-2780700.94653851,NA,NA,1.45076620578766,9.96566525108221,3.11935171179552,3.12950515868148,3.09306023798456,2.79260421778118
"Bentley_ImperieusReef","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",7,0.56828885400314,4.14508568354722,0.0812363924924359,NA,9447175.47108816,-2678599.71858651,NA,0.0634787380695343,0.0634787370051656,0.116454347586847,3.73443980920441,3.67352838239213,3.6580196357356,3.77589434147823
"Bentley_MarionReef","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",15,0.63655241583813,4.11815895249179,0.011202085011118,92.4,11999502.7158648,-3036257.12035616,NA,NA,NA,NA,3.30673068271708,3.30684075441356,3.31391267497555,3.51995355850497
"Bentley_ScottReef","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",17,0.662762842693639,4.49067311503905,-0.0251161886584677,NA,9472240.87996453,-2113987.5104729,NA,NA,NA,0.0976694625231528,3.963388778085,3.96334874499698,3.93715064044867,3.81866824830711
"Bentley_VemaBank","Bentley","Gymnosarda","Unicolor","Actinopteryggi","georeferenced in QGIS","Multiple",9,0.577218442932729,3.67709182471626,0.0647707738015751,19.3,11513869.289154,-2085391.21999654,NA,NA,NA,0.00536996159854769,3.44333869284557,3.45609414807721,3.42033909354456,3.18736539182558
"Bernard_AS","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",31,0.693152660387776,4.76040838492162,0.0127279199587006,NA,7581359.73479128,1142531.96997927,NA,NA,NA,372.34528513826,3.48875346147972,3.46292516768967,3.49682872210548,3.64190292970081
"Bernard_BAH","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",39,0.577107057628488,4.00616457714004,0.179982757952199,453.8,-6119949.41569141,3702909.65440321,1.45376053223243,1.44778868400477,57.7838930214634,50.4426463507369,2.33571746513426,2.10124830104189,2.27848011658141,2.94094429705158
"Bernard_CP","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",65,0.693778837486132,4.73323995795227,0.0204128442961307,218.5,-12470092.1664397,2982792.85986054,NA,NA,NA,21.5572734659738,2.45967446505655,2.35052414835158,2.31993998012921,2.29001001231001
"Bernard_ESI","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",66,0.712596066757824,4.88441987894244,-0.00614321727704858,139.9,8863906.00848046,-3901655.48319622,NA,0.00913683422393886,0.462176612169563,0.358873084125257,4.29402243901646,4.01902486956587,3.53066281001659,2.98800976354237
"Bernard_FLEH","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",35,0.583421898171033,4.05168327217061,0.17073236464994,258.4,-6245071.45830205,4393743.61965199,NA,NA,NA,164.320698762352,3.63183324237007,3.68419745726301,3.6421612968437,2.9975970730114
"Bernard_GOM","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",26,0.596531863905325,4.15494163570274,0.147623952554976,NA,-7089670.87114523,3625393.9449562,NA,NA,NA,0,3.88593997805652,3.84655159699988,3.86106355414694,4.06688810473627
"Bernard_USVI","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",22,0.59194214876033,4.16865442267419,0.151383674235947,115.4,-5212785.03920116,2562440.65965622,NA,NA,NA,296.04044413387,4.69262912477525,4.69521144556699,4.61782011107255,4.54871582886727
"Bernard_WSA","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",20,0.538375,3.70111030013657,0.226379149941329,NA,-3398456.28622065,-3800457.77612065,NA,NA,NA,NA,4.33967715870365,4.23745699543121,4.10174846798573,4.2030253124652
"Bernard_WSI","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",55,0.700720910074992,4.80818657180862,0.00893447933982949,620.7,2513755.37304866,-4801187.88993717,NA,NA,NA,NA,4.13739699917387,4.16782329467988,4.21237408887444,4.20676105279598
"Bernard_WSP","Bernard","Galeocerdo","Cuvier","Chondrichthyes","georeferenced in QGIS","Multiple",21,0.677710676528806,4.73116870340018,0.0256562233928915,8.8,12179746.5808896,-5268756.38957149,NA,NA,NA,NA,4.08649930546589,4.06482184705704,4.07439642512174,4.09710679062747
